DepMap_ID,Cluster
ACH-000557,0
ACH-000558,3
ACH-000559,0
ACH-000561,1
ACH-000562,2
ACH-000563,3
ACH-000565,1
ACH-000567,0
ACH-000570,4
ACH-000571,3
ACH-000573,1
ACH-000576,0
ACH-000577,4
ACH-000579,2
ACH-000580,3
ACH-000581,1
ACH-000583,0
ACH-000584,2
ACH-000585,3
ACH-000587,3
ACH-000588,0
ACH-000589,1
ACH-000591,4
ACH-000592,3
ACH-000593,3
ACH-000595,3
ACH-000596,1
ACH-000597,2
ACH-000599,1
ACH-000601,1
ACH-000602,0
ACH-000604,0
ACH-000605,2
ACH-000606,1
ACH-000607,1
ACH-000608,3
ACH-000609,2
ACH-000614,3
ACH-000616,3
ACH-000618,2
ACH-000619,3
ACH-000620,3
ACH-000621,3
ACH-000622,3
ACH-000623,2
ACH-000624,1
ACH-000627,3
ACH-000630,4
ACH-000632,4
ACH-000633,1
ACH-000634,2
ACH-000637,1
ACH-000638,2
ACH-000639,0
ACH-000645,4
ACH-000646,1
ACH-000647,2
ACH-000648,3
ACH-000649,3
ACH-000651,1
ACH-000652,3
ACH-000653,0
ACH-000654,0
ACH-000655,2
ACH-000656,0
ACH-000657,1
ACH-000660,0
ACH-000661,2
ACH-000662,1
ACH-000663,3
ACH-000664,1
ACH-000665,3
ACH-000666,4
ACH-000667,3
ACH-000668,2
ACH-000671,3
ACH-000673,3
ACH-000676,2
ACH-000677,3
ACH-000680,1
ACH-000681,3
ACH-000682,2
ACH-000683,1
ACH-000684,4
ACH-000685,1
ACH-000688,4
ACH-000693,2
ACH-000694,1
ACH-000695,0
ACH-000696,2
ACH-000697,0
ACH-000698,0
ACH-000699,3
ACH-000700,2
ACH-000701,1
ACH-000702,0
ACH-000704,3
ACH-000706,3
ACH-000709,4
ACH-000711,1
ACH-000713,2
ACH-000714,0
ACH-000716,2
ACH-000717,3
ACH-000718,3
ACH-000719,3
ACH-000720,3
ACH-000721,2
ACH-000722,1
ACH-000724,3
ACH-000725,2
ACH-000732,2
ACH-000734,2
ACH-000735,4
ACH-000736,1
ACH-000738,2
ACH-000739,2
ACH-000740,1
ACH-000741,3
ACH-000746,1
ACH-000747,2
ACH-000748,2
ACH-000753,2
ACH-000754,0
ACH-000756,3
ACH-000757,2
ACH-000758,2
ACH-000760,2
ACH-000762,3
ACH-000763,0
ACH-000764,3
ACH-000765,3
ACH-000766,3
ACH-000767,0
ACH-000768,3
ACH-000769,1
ACH-000770,0
ACH-000771,3
ACH-000773,0
ACH-000774,2
ACH-000775,2
ACH-000776,1
ACH-000777,3
ACH-000778,2
ACH-000781,3
ACH-000782,0
ACH-000783,1
ACH-000784,1
ACH-000785,1
ACH-000787,3
ACH-000788,4
ACH-000790,0
ACH-000791,1
ACH-000792,3
ACH-000793,1
ACH-000794,1
ACH-000796,2
ACH-000799,2
ACH-000800,1
ACH-000801,1
ACH-000802,3
ACH-000804,1
ACH-000805,2
ACH-000807,2
ACH-000809,2
ACH-000810,3
ACH-000811,3
ACH-000814,3
ACH-000817,0
ACH-000819,2
ACH-000820,1
ACH-000821,0
ACH-000822,2
ACH-000823,2
ACH-000824,2
ACH-000826,3
ACH-000827,2
ACH-000829,0
ACH-000831,2
ACH-000832,2
ACH-000833,2
ACH-000834,3
ACH-000835,3
