ACH-000263,-51.886494,-24.705841
ACH-000264,26.518911,4.702909
ACH-000265,-7.5002613,11.436474
ACH-000266,56.362526,0.7076144
ACH-000269,-3.4068475,19.482248
ACH-000271,-47.310474,-26.882238
ACH-000272,25.374397,4.2062883
ACH-000273,51.472324,7.5911603
ACH-000274,52.149677,6.0484877
ACH-000276,8.538354,21.826614
ACH-000277,-20.945862,-5.5539045
ACH-000278,21.564247,8.131389
ACH-000279,-4.5385027,-4.811826
ACH-000280,23.31396,-1.8283442
ACH-000281,28.689137,-1.1069357
ACH-000282,34.81284,4.7713175
ACH-000286,28.305708,-1.8841965
ACH-000288,48.21875,3.7321568
ACH-000290,-52.21329,-21.48374
ACH-000291,2.7291827,1.9724526
ACH-000292,23.791548,-0.6247533
ACH-000293,0.51101416,19.140257
ACH-000294,-49.36234,-28.41706
ACH-000295,-49.032677,-18.675629
ACH-000296,2.6581128,-7.712668
ACH-000302,32.590466,11.0480585
ACH-000303,-17.112574,11.458038
ACH-000304,22.262526,10.396804
ACH-000305,-0.9102812,-0.99367917
ACH-000307,22.424229,0.22947414
ACH-000308,27.510277,17.243652
ACH-000310,-46.281086,-17.947975
ACH-000311,-24.534054,1.054118
ACH-000312,-49.46221,-21.276752
ACH-000313,54.92794,5.804879
ACH-000315,-46.929398,-22.767397
ACH-000316,55.930553,4.783855
ACH-000317,-1.6475292,15.432942
ACH-000318,2.607401,6.177255
ACH-000319,18.616995,16.607584
ACH-000320,6.0591474,-0.42376333
ACH-000322,-6.787358,12.163942
ACH-000323,1.7543417,16.90119
ACH-000324,18.01381,13.325465
ACH-000325,-21.951883,-12.182811
ACH-000326,-47.8706,-18.058012
ACH-000329,5.1168957,16.900835
ACH-000330,-18.280546,10.563159
ACH-000331,45.09456,4.9508386
ACH-000332,21.86348,5.2088
ACH-000334,-49.33648,-25.53976
ACH-000335,-1.6159667,19.363506
ACH-000336,-45.15777,-25.674265
ACH-000337,-4.6834006,-7.7996035
ACH-000339,20.206612,8.130656
